timestamp,HD,LOW
1147752000,23.24142837524414,22.08716583251953
1147838400,22.975479125976562,21.649030685424805
1147924800,23.217256546020508,21.73030662536621
1148011200,23.537612915039062,22.133100509643555
1148270400,23.26561164855957,21.136690139770508
1148356800,22.87271499633789,20.991825103759766
1148443200,22.975479125976562,21.433494567871094
1148529600,23.211214065551758,21.92110252380371
1148616000,23.374418258666992,21.853975296020508
1148961600,22.788089752197266,21.550094604492188
1149048000,23.041955947875977,22.005908966064453
1149134400,23.301889419555664,22.422849655151367
1149220800,22.969432830810547,22.422849655151367
1149480000,22.643020629882812,21.949363708496094
1149566400,22.49129295349121,21.73383140563965
1149652800,22.27888298034668,21.550094604492188
1149739200,22.60660743713379,21.949363708496094
1149825600,22.424537658691406,21.98823356628418
1150084800,22.00579261779785,21.659639358520508
1150171200,22.02399253845215,21.822162628173828
1150257600,22.303163528442383,22.00237274169922
1150344000,22.679443359375,22.30624008178711
1150430400,22.4002685546875,21.99176788330078
1150689600,22.369918823242188,21.758567810058594
1150776000,22.10288429260254,21.62076187133789
1150862400,22.24853515625,21.839828491210938
1150948800,22.139297485351562,21.60663414001465
1151035200,22.096817016601562,21.504165649414062
1151294400,22.23641014099121,21.910499572753906
1151380800,22.07254409790039,21.553632736206055
1151467200,21.945083618164062,21.391096115112305
1151553600,22.127161026000977,21.832773208618164
1151640000,21.720550537109375,21.437028884887695
1151899200,21.708412170410156,21.49709701538086
1152072000,21.56276512145996,21.490028381347656
1152158400,21.526338577270508,21.398164749145508
1152244800,21.465662002563477,20.465356826782227
1152504000,21.241113662719727,20.281618118286133
1152590400,20.864830017089844,20.161483764648438
1152676800,20.39752960205078,19.39120101928711
1152763200,20.67670440673828,19.758678436279297
1152849600,20.537118911743164,19.702138900756836
1153108800,20.391460418701172,19.74454689025879
1153195200,20.106224060058594,19.624412536621094
1153281600,20.84662628173828,20.304040908813477
1153368000,20.62207794189453,19.942981719970703
1153454400,20.543182373046875,19.900497436523438
1153713600,21.004425048828125,20.424392700195312
1153800000,21.386762619018555,20.750043869018555
1153886400,21.05904197692871,20.353593826293945
1153972800,20.6463565826416,20.141216278076172
1154059200,20.992286682128906,20.318193435668945
1154318400,21.065114974975586,20.070417404174805
1154404800,20.71918296813965,19.92882537841797
1154491200,20.700973510742188,20.176612854003906
1154577600,20.980148315429688,20.53766632080078
1154664000,21.065114974975586,20.374834060668945
1154923200,21.052974700927734,20.28279685974121
1155009600,20.83449363708496,20.042098999023438
1155096000,20.270090103149414,19.390783309936523
1155182400,20.39752960205078,19.8367919921875
1155268800,20.191186904907227,19.89342498779297
1155528000,20.185117721557617,19.89342498779297
1155614400,20.90125274658203,20.275724411010742
1155700800,20.937667846679688,20.424392700195312
1155787200,21.071178436279297,20.849159240722656
1155873600,21.10152816772461,20.898719787597656
1156132800,20.816280364990234,20.070417404174805
1156219200,20.67063331604004,19.7659969329834
1156305600,20.42180633544922,19.19255828857422
1156392000,20.27614974975586,18.668672561645508
1156478400,20.318628311157227,18.937692642211914
1156737600,20.446073532104492,19.206714630126953
1156824000,20.688846588134766,19.27750587463379
1156910400,20.707050323486328,19.291671752929688
1156996800,20.810213088989258,19.157148361206055
1157083200,21.02263069152832,19.348299026489258
1157428800,21.193302154541016,19.695199966430664
1157515200,20.827571868896484,19.43326187133789
1157601600,20.931190490722656,19.178396224975586
1157688000,20.89461898803711,19.284587860107422
1157947200,21.370052337646484,19.7235107421875
1158033600,22.345298767089844,20.424392700195312
1158120000,22.656160354614258,20.502262115478516
1158206400,22.686635971069336,20.76420783996582
1158292800,22.686635971069336,20.778366088867188
1158552000,22.296541213989258,20.44562339782715
1158638400,22.113676071166992,20.21908187866211
1158724800,22.174636840820312,20.042098999023438
1158811200,21.851587295532227,20.084562301635742
1158897600,21.91863250732422,20.056251525878906
1159156800,22.296541213989258,20.417316436767578
