timestamp,PEP,KO
1147752000,33.409183502197266,11.935735702514648
1147838400,33.40359878540039,11.856781959533691
1147924800,32.86599349975586,11.856781959533691
1148011200,32.81559753417969,11.88400936126709
1148270400,33.19081497192383,11.870391845703125
1148356800,33.44839096069336,11.864950180053711
1148443200,33.80120086669922,11.987462997436523
1148529600,33.913177490234375,12.080035209655762
1148616000,33.96918487548828,12.112704277038574
1148961600,33.83479690551758,11.889449119567871
1149048000,33.857181549072266,11.987462997436523
1149134400,34.21559524536133,11.95751667022705
1149220800,33.974796295166016,11.949356079101562
1149480000,33.4596061706543,11.824115753173828
1149566400,33.89080047607422,11.843174934387207
1149652800,33.93581008911133,11.81049919128418
1149739200,33.84013366699219,11.813222885131836
1149825600,33.72758102416992,11.856781959533691
1150084800,33.609405517578125,11.791447639465332
1150171200,33.19857406616211,11.766763687133789
1150257600,33.125396728515625,11.739343643188477
1150344000,33.24922561645508,11.802408218383789
1150430400,33.598148345947266,11.84902572631836
1150689600,33.3786735534668,11.772244453430176
1150776000,33.36741638183594,11.736598014831543
1150862400,33.54750442504883,11.794184684753418
1150948800,33.77824401855469,11.75578784942627
1151035200,33.47996139526367,11.72288990020752
1151294400,33.49120330810547,11.74482536315918
1151380800,33.26609420776367,11.657074928283691
1151467200,33.153541564941406,11.632393836975098
1151553600,33.485595703125,11.807897567749023
1151640000,33.789493560791016,11.79692554473877
1151899200,33.91893768310547,11.892901420593262
1152072000,33.91893768310547,11.79692554473877
1152158400,33.969581604003906,11.88193416595459
1152244800,34.02585983276367,11.840804100036621
1152504000,34.3016242980957,11.964200973510742
1152590400,34.661808013916016,12.01356029510498
1152676800,34.386043548583984,11.947748184204102
1152763200,34.931941986083984,11.818861961364746
1152849600,34.77998352050781,11.695466041564941
1153108800,35.05012512207031,11.709178924560547
1153195200,35.57352066040039,11.9422607421875
1153281600,35.269615173339844,12.016295433044434
1153368000,35.162689208984375,12.021783828735352
1153454400,35.32026290893555,12.038239479064941
1153713600,35.652313232421875,12.06566047668457
1153800000,35.29776382446289,12.134220123291016
1153886400,35.80988693237305,12.189056396484375
1153972800,35.16831588745117,12.15067195892334
1154059200,35.528499603271484,12.208253860473633
1154318400,35.66917419433594,12.202775001525879
1154404800,35.550987243652344,12.15067195892334
1154491200,35.567893981933594,12.15067195892334
1154577600,35.36528396606445,12.071144104003906
1154664000,35.550987243652344,12.024532318115234
1154923200,35.545379638671875,11.958718299865723
1155009600,35.804264068603516,12.01356029510498
1155096000,35.36528396606445,11.99710750579834
1155182400,35.567893981933594,12.038239479064941
1155268800,35.641048431396484,11.999852180480957
1155528000,35.98997497558594,12.062920570373535
1155614400,35.7873649597168,12.153413772583008
1155700800,35.6185417175293,12.156156539916992
1155787200,35.26398468017578,12.115023612976074
1155873600,35.46095657348633,12.15067195892334
1156132800,35.624168395996094,12.11776351928711
1156219200,35.871768951416016,12.178092956542969
1156305600,36.057498931884766,12.153413772583008
1156392000,36.09687423706055,12.205509185791016
1156478400,36.119407653808594,12.208253860473633
1156737600,36.580902099609375,12.260357856750488
1156824000,37.036739349365234,12.378270149230957
1156910400,36.941078186035156,12.3289155960083
1156996800,36.73847198486328,12.287778854370117
1157083200,36.81163024902344,12.359076499938965
1157428800,36.69346618652344,12.334400177001953
1157515200,36.71041488647461,12.257619857788086
1157601600,36.30897521972656,12.200029373168945
1157688000,36.59733200073242,12.230191230773926
1157947200,36.59170150756836,12.216485023498535
1158033600,36.86307144165039,12.27955150604248
1158120000,36.546451568603516,12.318214416503906
1158206400,36.49555969238281,12.30993366241455
1158292800,36.76694869995117,12.315448760986328
1158552000,36.455989837646484,12.271267890930176
1158638400,36.61994934082031,12.254700660705566
1158724800,36.817840576171875,12.274026870727539
1158811200,36.52949523925781,12.204995155334473
1158897600,36.342899322509766,12.147010803222656
1159156800,36.789573669433594,12.260228157043457
1159243200,36.993106842041016,12.326494216918945
1159329600,37.264488220214844,12.345821380615234
1159416000,36.91960144042969,12.41209602355957
1159502400,36.896976470947266,12.337543487548828
1159761600,36.37117385864258,12.28783893585205
1159848000,36.55775451660156,12.30440616607666
1159934400,36.69912338256836,12.370672225952148
1160020800,36.62560272216797,12.3789701461792
1160107200,36.422061920166016,12.35962963104248
1160366400,36.02629852294922,12.265746116638184
1160452800,35.85102462768555,12.166337013244629
1160539200,36.105445861816406,12.182906150817871
1160625600,35.534427642822266,12.163576126098633
1160712000,35.30827331542969,12.155295372009277
1160971200,35.43830871582031,12.218806266784668
1161057600,35.263031005859375,12.091782569885254
1161144000,35.72664260864258,12.138724327087402
1161230400,35.5174560546875,12.401052474975586
1161316800,35.51179885864258,12.909130096435547
1161576000,35.72100067138672,13.055474281311035
1161662400,35.732303619384766,12.986444473266602
1161748800,35.98107147216797,13.03062629699707
1161835200,36.08283615112305,13.016823768615723
1161921600,35.92454147338867,12.942265510559082
1162184400,35.91887664794922,12.911888122558594
1162270800,35.86799240112305,12.900845527648926
1162357200,35.81711196899414,12.87875747680664
1162443600,35.73795700073242,12.898088455200195
1162530000,35.75491714477539,12.840097427368164
1162789200,35.77752685546875,12.925697326660156
1162875600,35.84539031982422,12.956074714660645
1162962000,35.91887664794922,12.945029258728027
1163048400,35.44395065307617,12.88152027130127
1163134800,35.36479568481445,12.831815719604492
1163394000,34.720272064208984,12.815250396728516
1163480400,35.0199089050293,12.853906631469727
1163566800,34.6241569519043,12.88152027130127
1163653200,34.94075012207031,13.016823768615723
1163739600,35.2121467590332,13.049957275390625
1163998800,35.3365364074707,12.989211082458496
1164085200,35.370460510253906,12.975401878356934
1164171600,35.35914611816406,13.005779266357422
1164344400,35.24606704711914,12.956074714660645
1164603600,34.771148681640625,12.853906631469727
1164690000,34.952064514160156,12.889801025390625
1164776400,35.31956481933594,12.964859008789062
1164862800,35.03689193725586,13.017672538757324
1164949200,35.03121566772461,12.945395469665527
1165208400,35.5513801574707,13.017672538757324
1165294800,36.280723571777344,13.342904090881348
1165381200,36.1898307800293,13.448537826538086
1165467600,36.02509307861328,13.543048858642578
1165554000,35.939884185791016,13.595863342285156
1165813200,35.65019607543945,13.568070411682129
1165899600,35.70131301879883,13.593088150024414
1165986000,35.65019607543945,13.576411247253418
1166072400,35.50251770019531,13.62088394165039
1166158800,35.71268844604492,13.601423263549805
1166418000,35.8262939453125,13.593088150024414
1166504400,35.94559097290039,13.556947708129883
1166590800,35.95693588256836,13.551387786865234
1166677200,36.008060455322266,13.526369094848633
1166763600,35.843318939208984,13.448537826538086
1167109200,35.69564437866211,13.495790481567383
1167195600,35.72404479980469,13.53470516204834
1167282000,35.928531646728516,13.493013381958008
1167368400,35.53089904785156,13.412400245666504
1167800400,35.627471923828125,13.504136085510254
1167886800,35.871742248535156,13.509693145751953
1167973200,35.75812911987305,13.415181159973145
1168232400,35.837650299072266,13.50135612487793
1168318800,35.985355377197266,13.512469291687012
1168405200,36.43975830078125,13.531927108764648
1168491600,36.894195556640625,13.548606872558594
1168578000,36.752197265625,13.495790481567383
1168923600,36.83739471435547,13.481893539428711
1169010000,36.92262649536133,13.509693145751953
1169096400,36.87715530395508,13.44019603729248
1169182800,36.820350646972656,13.415181159973145
1169442000,36.81468200683594,13.351243019104004
1169528400,36.83172607421875,13.376260757446289
1169614800,37.03620147705078,13.379043579101562
1169701200,36.593135833740234,13.326229095458984
1169787600,36.61017990112305,13.29565143585205
1170046800,36.695377349853516,13.262293815612793
1170133200,36.97373580932617,13.290090560913086
1170219600,37.058929443359375,13.309555053710938
1170306000,37.138465881347656,13.370698928833008
1170392400,36.94532775878906,13.409619331359863
1170651600,36.8260498046875,13.315110206604004
1170738000,36.576107025146484,13.35680103302002
1170824400,36.638587951660156,13.351243019104004
1170910800,35.96261215209961,13.30398941040039
1170997200,36.303436279296875,13.276193618774414
1171256400,36.19552230834961,13.320670127868652
1171342800,36.246646881103516,13.401278495788574
1171429200,35.985355377197266,13.309555053710938
1171515600,36.40000534057617,13.301214218139648
1171602000,36.70674514770508,13.30677318572998
1171947600,36.70106887817383,13.281754493713379
1172034000,36.933990478515625,13.22337818145752
1172120400,36.72947692871094,13.148324966430664
1172206800,36.68403244018555,13.13719654083252
1172466000,36.632911682128906,13.2650728225708
1172552400,35.65019607543945,12.895363807678223
1172638800,35.871742248535156,12.975976943969727
1172725200,36.030792236328125,12.931501388549805
1172811600,35.74675369262695,12.756378173828125
1173070800,35.655887603759766,12.867562294006348
