timestamp,GS,MS
1147752000,111.06011962890625,33.4802360534668
1147838400,107.79456329345703,32.363521575927734
1147924800,106.93628692626953,32.29339599609375
1148011200,108.66730499267578,32.3365364074707
1148270400,106.2962646484375,31.9211368560791
1148356800,104.51438903808594,31.705358505249023
1148443200,104.67438507080078,31.883363723754883
1148529600,107.14724731445312,32.24482345581055
1148616000,111.23468017578125,32.676422119140625
1148961600,108.97276306152344,31.88878059387207
1149048000,109.78730773925781,32.16389846801758
1149134400,111.67832946777344,32.68181228637695
1149220800,112.07115173339844,32.68721008300781
1149480000,109.38734436035156,31.640596389770508
1149566400,108.54363250732422,31.77549171447754
1149652800,109.06001281738281,31.904951095581055
1149739200,108.9218521118164,31.81864356994629
1149825600,109.0163803100586,31.931928634643555
1150084800,105.45984649658203,31.39784049987793
1150171200,101.27783966064453,29.800981521606445
1150257600,100.73234558105469,29.98980712890625
1150344000,104.81981658935547,30.928483963012695
1150430400,104.7325439453125,30.745079040527344
1150689600,104.55071258544922,30.49152183532715
1150776000,105.64897918701172,30.761260986328125
1150862400,108.97276306152344,32.088375091552734
1150948800,107.86727905273438,32.374298095703125
1151035200,107.58360290527344,32.20707321166992
1151294400,109.02369689941406,32.5847053527832
1151380800,107.03086853027344,32.3904914855957
1151467200,106.5436019897461,32.44443130493164
1151553600,110.69648742675781,33.739200592041016
1151640000,109.4091567993164,34.100643157958984
1151899200,110.87833404541016,34.53761672973633
1152072000,109.78730773925781,34.33802795410156
1152158400,109.51826477050781,34.45671844482422
1152244800,108.01273345947266,34.499874114990234
1152504000,108.26004791259766,34.64014434814453
1152590400,108.12911987304688,34.48905944824219
1152676800,105.6562728881836,33.93104934692383
1152763200,103.67797088623047,33.3026008605957
1152849600,101.89604187011719,32.8800163269043
1153108800,102.4560546875,33.15631866455078
1153195200,103.52525329589844,33.56806564331055
1153281600,106.89269256591797,34.592018127441406
1153368000,105.59078216552734,34.31572341918945
1153454400,103.55670928955078,33.866031646728516
1153713600,107.09992218017578,34.79245376586914
1153800000,108.25916290283203,35.19878387451172
1153886400,107.44994354248047,34.91708755493164
1153972800,108.09143829345703,35.2475471496582
1154059200,110.61408233642578,35.88142395019531
1154318400,111.36495208740234,36.027713775634766
1154404800,110.27869415283203,35.72431945800781
1154491200,109.28715515136719,35.88142395019531
1154577600,110.8910903930664,36.73201370239258
1154664000,111.53994750976562,36.672401428222656
1154923200,111.29207611083984,36.37442398071289
1155009600,110.41717529296875,35.90849685668945
1155096000,109.36736297607422,35.04166793823242
1155182400,110.54845428466797,35.33966827392578
1155268800,110.16935729980469,35.410091400146484
1155528000,109.62982177734375,35.23128890991211
1155614400,111.29207611083984,35.88683319091797
