timestamp,T,VZ
1147752000,4.8065948486328125,10.22382926940918
1147838400,4.68162727355957,9.936790466308594
1147924800,4.614482402801514,9.807781219482422
1148011200,4.715203285217285,9.965822219848633
1148270400,4.707740306854248,9.930339813232422
1148356800,4.709605693817139,9.956140518188477
1148443200,4.748775005340576,9.917441368103027
1148529600,4.793539524078369,10.04644775390625
1148616000,4.892394542694092,10.156102180480957
1148961600,4.8196516036987305,9.969042778015137
1149048000,4.860686779022217,10.065799713134766
1149134400,5.019228935241699,10.307687759399414
1149220800,4.985653400421143,10.301239967346191
1149480000,4.961406707763672,10.175456047058105
1149566400,4.985653400421143,10.22382926940918
1149652800,4.959540843963623,10.268987655639648
1149739200,4.957676410675049,10.210933685302734
1149825600,4.965135097503662,10.15932846069336
1150084800,4.972596645355225,10.104499816894531
1150171200,5.0397443771362305,10.175456047058105
1150257600,5.067722320556641,10.19803524017334
1150344000,5.172173023223877,10.381864547729492
1150430400,5.183363914489746,10.494745254516602
1150689600,5.192689895629883,10.375412940979004
1150776000,5.144195079803467,10.559252738952637
1150862400,5.097565174102783,10.601178169250488
1150948800,5.090104103088379,10.559252738952637
1151035200,5.105024337768555,10.588276863098145
1151294400,5.097565174102783,10.572148323059082
1151380800,5.1012959480285645,10.462495803833008
1151467200,5.112485408782959,10.517321586608887
1151553600,5.166577339172363,10.739861488342285
1151640000,5.202016830444336,10.801139831542969
1151899200,5.209475040435791,10.820491790771484
1152072000,5.203882217407227,10.736637115478516
1152158400,5.241954326629639,10.78071117401123
1152244800,5.257113933563232,10.679500579833984
1152504000,5.1888909339904785,10.76765251159668
1152590400,5.16235876083374,10.672974586486816
1152676800,5.1471943855285645,10.545641899108887
1152763200,5.033487319946289,10.362804412841797
1152849600,5.037277698516846,10.323623657226562
1153108800,5.069496154785156,10.31057071685791
1153195200,5.114978790283203,10.31057071685791
1153281600,5.205944538116455,10.552165985107422
1153368000,5.17372989654541,10.529318809509277
1153454400,5.181309700012207,10.40524673461914
1153713600,5.264693260192871,10.6403226852417
1153800000,5.486424446105957,10.751328468322754
1153886400,5.590659141540527,10.914572715759277
1153972800,5.624769687652588,10.878660202026367
1154059200,5.6967878341674805,11.012521743774414
1154318400,5.683520793914795,11.041906356811523
