timestamp,V,MA
1205899200,12.416171073913574,18.99283218383789
1205985600,14.141251564025879,20.085601806640625
1206331200,13.125981330871582,19.731977462768555
1206417600,13.899517059326172,20.504844665527344
1206504000,14.055546760559082,20.310720443725586
1206590400,13.82480525970459,20.114774703979492
1206676800,13.791839599609375,19.83223533630371
1206936000,13.703937530517578,20.323476791381836
1207022400,13.539116859436035,20.925918579101562
1207108800,13.695148468017578,20.392757415771484
1207195200,14.393964767456055,21.076305389404297
1207281600,14.169818878173828,20.6497745513916
1207540800,14.292881965637207,20.63425064086914
1207627200,14.96313762664795,21.110340118408203
1207713600,14.457698822021484,20.862268447875977
1207800000,14.528018951416016,20.87776756286621
1207886400,14.528018951416016,20.848583221435547
1208145600,14.433527946472168,20.71178436279297
1208232000,14.141251564025879,20.491071701049805
1208318400,14.534611701965332,21.019128799438477
1208404800,14.732388496398926,21.021867752075195
1208491200,15.163111686706543,21.314619064331055
1208750400,15.596030235290527,21.52347755432129
1208836800,15.444400787353516,21.39760971069336
1208923200,15.400453567504883,21.335596084594727
1209009600,15.888300895690918,21.847238540649414
1209096000,16.503623962402344,21.65024185180664
1209355200,16.62009048461914,22.11628532409668
1209441600,17.773805618286133,24.987289428710938
1209528000,18.338573455810547,25.36850929260254
1209614400,18.76709747314453,26.807666778564453
1209700800,18.18474578857422,25.995983123779297
1209960000,18.69237518310547,26.52129554748535
1210046400,19.235177993774414,26.99737548828125
1210132800,19.448339462280273,26.540454864501953
1210219200,19.184635162353516,26.759336471557617
1210305600,18.208921432495117,26.161052703857422
1210564800,17.997955322265625,26.472055435180664
1210651200,18.10344123840332,26.338891983032227
1210737600,18.07047462463379,26.125484466552734
1210824000,18.074872970581055,26.153751373291016
1210910400,18.10123634338379,25.846406936645508
1211169600,18.31001091003418,25.536327362060547
1211256000,18.182554244995117,25.321998596191406
1211342400,17.767213821411133,25.413211822509766
1211428800,16.989280700683594,25.162405014038086
1211515200,16.778310775756836,24.917987823486328
1211860800,17.303525924682617,25.42323112487793
1211947200,18.002349853515625,26.16469383239746
1212033600,18.734130859375,28.18115997314453
1212120000,18.978063583374023,28.14923858642578
1212379200,18.914339065551758,29.18437957763672
1212465600,19.241769790649414,28.035232543945312
1212552000,18.784679412841797,27.12322425842285
1212638400,19.17145538330078,27.922149658203125
1212724800,18.382524490356445,26.97092628479004
1212984000,18.05069923400879,26.576013565063477
1213070400,17.648544311523438,26.088092803955078
1213156800,17.083772659301758,25.464277267456055
1213243200,17.48372459411621,25.937604904174805
1213329600,17.916641235351562,26.672687530517578
1213588800,18.299020767211914,26.856016159057617
1213675200,18.606672286987305,26.649890899658203
1213761600,18.428674697875977,26.730144500732422
1213848000,18.518775939941406,26.68545913696289
1213934400,18.364944458007812,25.90204429626465
1214193600,17.8133544921875,25.766145706176758
1214280000,18.164968490600586,25.5700740814209
1214366400,18.033117294311523,26.429189682006836
1214452800,17.382640838623047,25.146894454956055
1214539200,18.15178108215332,24.78118324279785
1214798400,17.86829376220703,24.215730667114258
1214884800,17.89027214050293,24.017820358276367
1214971200,17.452964782714844,23.30098533630371
1215057600,17.156291961669922,23.141376495361328
1215403200,16.617897033691406,22.44460678100586
1215489600,17.373857498168945,24.099903106689453
1215576000,16.672836303710938,22.927305221557617
1215662400,16.976097106933594,23.105247497558594
1215748800,16.38275718688965,23.48395347595215
1216008000,15.949840545654297,23.497638702392578
1216094400,15.03565502166748,22.847002029418945
1216180800,15.872919082641602,24.747802734375
1216267200,16.49483299255371,26.09834861755371
1216353600,16.130037307739258,25.629301071166992
1216612800,15.80040454864502,24.446664810180664
1216699200,16.27287483215332,24.9896240234375
1216785600,16.09706687927246,24.729551315307617
1216872000,15.400453567504883,23.58706283569336
1216958400,15.813587188720703,24.049718856811523
1217217600,15.503734588623047,23.150875091552734
1217304000,16.694805145263672,23.917400360107422
1217390400,17.239795684814453,24.704912185668945
1217476800,16.055316925048828,22.279399871826172
1217563200,15.763047218322754,21.65159034729004
1217822400,15.932262420654297,21.072134017944336
1217908800,16.173988342285156,21.63698959350586
1217995200,15.708104133605957,21.170679092407227
1218081600,15.272985458374023,20.531917572021484
1218168000,15.954224586486816,21.182544708251953
1218427200,16.435489654541016,21.458139419555664
1218513600,15.998180389404297,21.072134017944336
1218600000,16.26997947692871,21.307565689086914
1218686400,16.677108764648438,21.524749755859375
1218772800,16.679304122924805,21.80489158630371
1219032000,16.492246627807617,21.70998764038086
1219118400,16.228158950805664,21.770221710205078
1219204800,16.410818099975586,22.203664779663086
1219291200,16.36901092529297,22.015687942504883
1219377600,16.305179595947266,22.050363540649414
1219636800,16.135726928710938,21.37144660949707
1219723200,16.140125274658203,21.6041316986084
1219809600,16.384414672851562,21.62421226501465
1219896000,16.64849090576172,22.127012252807617
1219982400,16.703516006469727,22.133398056030273
1220328000,16.50325584411621,21.827709197998047
1220414400,16.07630729675293,20.954410552978516
1220500800,15.515121459960938,19.713375091552734
1220587200,15.792420387268066,20.207054138183594
1220846400,15.427096366882324,20.021814346313477
1220932800,14.852701187133789,18.861984252929688
1221019200,15.193815231323242,19.46607208251953
1221105600,15.61414909362793,20.58666229248047
1221192000,15.768200874328613,20.42424964904785
1221451200,15.268643379211426,19.32463836669922
1221537600,14.601820945739746,19.6020450592041
1221624000,14.10445785522461,17.885578155517578
1221710400,14.72286319732666,19.028982162475586
1221796800,15.310454368591309,20.548343658447266
1222056000,14.344337463378906,18.467771530151367
