timestamp,JPM,BAC
1147752000,26.49956512451172,32.50015640258789
1147838400,25.85978889465332,31.793060302734375
1147924800,25.55486297607422,31.504966735839844
1148011200,25.56082534790039,31.603193283081055
1148270400,25.49506378173828,31.596637725830078
1148356800,25.214046478271484,31.57700538635254
1148443200,25.20208740234375,31.74066162109375
1148529600,25.620637893676758,32.02220916748047
1148616000,25.84783363342285,32.32991027832031
1148961600,25.37548065185547,31.884702682495117
1149048000,25.49506378173828,32.01701736450195
1149134400,26.057109832763672,32.2154655456543
1149220800,26.19463348388672,32.585914611816406
1149480000,25.692380905151367,32.24191665649414
1149566400,25.339614868164062,32.1030158996582
1149652800,25.26188087463379,32.31468200683594
1149739200,25.321678161621094,32.433773040771484
1149825600,25.172178268432617,32.27500534057617
1150084800,24.87323760986328,32.02363204956055
1150171200,24.233478546142578,31.137208938598633
1150257600,23.898643493652344,30.852758407592773
1150344000,24.27532958984375,31.6928653717041
1150430400,24.01224136352539,31.36874771118164
1150689600,23.886686325073242,31.183513641357422
1150776000,24.209558486938477,31.143823623657227
1150862400,24.640039443969727,31.29598045349121
1150948800,24.55634117126465,31.4481143951416
1151035200,24.436758041381836,31.36212921142578
1151294400,24.813451766967773,31.395198822021484
1151380800,24.418827056884766,31.289363861083984
1151467200,24.675935745239258,31.520898818969727
1151553600,25.51898956298828,32.14931869506836
1151640000,25.11240005493164,31.818572998046875
1151899200,25.841781616210938,32.28822708129883
1152072000,25.564495086669922,32.327938079833984
1152158400,25.588605880737305,32.45360565185547
1152244800,25.564495086669922,32.281612396240234
1152504000,25.666976928710938,32.50653076171875
1152590400,25.841781616210938,32.513145446777344
1152676800,25.468053817749023,32.12947082519531
1152763200,24.94965362548828,31.739187240600586
1152849600,24.648250579833984,31.957477569580078
1153108800,24.551807403564453,31.89796257019043
1153195200,24.53974151611328,32.04345703125
1153281600,25.950292587280273,33.0423583984375
1153368000,25.90810203552246,32.84389114379883
1153454400,26.010560989379883,33.16804885864258
1153713600,26.643510818481445,33.45246505737305
1153800000,26.90269660949707,33.61126708984375
1153886400,26.914764404296875,33.73033142089844
1153972800,26.94489288330078,33.75017547607422
1154059200,27.415077209472656,34.17353820800781
1154318400,27.499473571777344,34.08754348754883
1154404800,27.433170318603516,34.08754348754883
1154491200,27.421098709106445,34.371986389160156
1154577600,27.523576736450195,34.37860870361328
1154664000,27.198078155517578,34.61012268066406
1154923200,27.288497924804688,34.504295349121094
1155009600,27.119714736938477,34.43814468383789
1155096000,26.733922958374023,34.09415054321289
1155182400,26.55308723449707,34.080928802490234
1155268800,26.480749130249023,34.001548767089844
1155528000,26.456636428833008,33.822940826416016
1155614400,27.14984893798828,34.49767303466797
1155700800,27.409046173095703,34.596900939941406
1155787200,27.403017044067383,34.49103546142578
1155873600,27.553707122802734,34.722591400146484
1156132800,27.403017044067383,34.7027473449707
1156219200,27.336719512939453,34.72919845581055
1156305600,27.439191818237305,34.722591400146484
1156392000,27.5356388092041,34.73582458496094
1156478400,27.439191818237305,34.48446273803711
1156737600,27.740596771240234,34.52412414550781
1156824000,27.710447311401367,34.590293884277344
1156910400,27.56578254699707,34.57022476196289
1156996800,27.523576736450195,34.41644287109375
1157083200,27.56578254699707,34.543487548828125
1157428800,27.60797691345215,34.60367202758789
1157515200,27.656204223632812,34.536781311035156
1157601600,27.24629020690918,34.443172454833984
1157688000,27.2824649810791,34.543487548828125
1157947200,27.360822677612305,34.222511291503906
1158033600,27.734560012817383,34.57022476196289
1158120000,27.969650268554688,34.70396423339844
1158206400,28.029918670654297,34.72401428222656
1158292800,28.301176071166992,34.40306091308594
1158552000,28.07815170288086,34.62372589111328
1158638400,28.210779190063477,34.79090118408203
1158724800,28.463945388793945,35.09847640991211
1158811200,28.216796875,34.931312561035156
1158897600,28.222810745239258,35.058353424072266
1159156800,28.277069091796875,35.41944122314453
1159243200,28.271053314208984,35.760475158691406
1159329600,28.234893798828125,35.5999755859375
1159416000,28.421751022338867,35.78720474243164
1159502400,28.307218551635742,35.820640563964844
1159761600,28.25296401977539,35.854068756103516
1159848000,28.783432006835938,36.3823356628418
1159934400,28.83199119567871,36.65648651123047
1160020800,28.783416748046875,36.45587158203125
1160107200,28.449504852294922,36.268646240234375
1160366400,28.601299285888672,36.44917678833008
1160452800,28.85626792907715,36.5294303894043
1160539200,28.923049926757812,36.134918212890625
1160625600,29.299480438232422,36.282012939453125
1160712000,29.238750457763672,36.368953704833984
1160971200,28.97770118713379,35.91425323486328
1161057600,29.135547637939453,35.89418411254883
1161144000,28.6619873046875,35.98112106323242
1161230400,28.45557975769043,35.61336135864258
1161316800,28.607362747192383,35.854068756103516
1161576000,28.771272659301758,35.88080596923828
1161662400,28.619495391845703,35.72702407836914
1161748800,28.69841766357422,36.10816955566406
1161835200,29.001985549926758,36.22853088378906
1161921600,28.710580825805664,35.907569885253906
1162184400,28.807708740234375,36.05467987060547
1162270800,28.80162811279297,36.02124786376953
1162357200,28.491992950439453,35.82733917236328
1162443600,28.473804473876953,35.807254791259766
1162530000,28.467714309692383,35.72702407836914
1162789200,28.929113388061523,36.24860382080078
1162875600,28.83199119567871,36.388999938964844
1162962000,28.923049926757812,36.51606750488281
1163048400,28.68022346496582,36.44917678833008
1163134800,28.904855728149414,36.6230354309082
1163394000,28.935211181640625,36.41575241088867
1163480400,28.989866256713867,36.66315460205078
1163566800,28.807708740234375,36.429134368896484
1163653200,29.050552368164062,36.7099723815918
1163739600,28.935211181640625,36.676536560058594
1163998800,29.080913543701172,36.7099723815918
1164085200,28.989866256713867,36.58960723876953
1164171600,28.892715454101562,36.5294303894043
1164344400,28.69841766357422,36.48263931274414
1164603600,28.309871673583984,36.05467987060547
1164690000,28.048810958862305,36.28871154785156
1164776400,28.334144592285156,36.4981575012207
1164862800,28.09738540649414,36.383304595947266
1164949200,27.933452606201172,36.14682388305664
1165208400,28.437360763549805,35.57253646850586
1165294800,28.65592384338379,35.66710662841797
1165381200,28.431299209594727,35.59955596923828
1165467600,28.309871673583984,35.46442413330078
1165554000,28.388790130615234,34.903648376464844
1165813200,28.868408203125,35.50497055053711
1165899600,28.9169921875,35.67388153076172
1165986000,28.898775100708008,35.86978530883789
1166072400,29.11126136779785,35.92386245727539
1166158800,29.32375717163086,36.02521514892578
1166418000,29.281251907348633,36.234657287597656
1166504400,29.3055419921875,36.200870513916016
1166590800,29.275182723999023,36.254920959472656
1166677200,29.5362548828125,36.15357971191406
1166763600,29.074840545654297,36.04549026489258
1167109200,29.329832077026367,36.281951904296875
1167195600,29.7183837890625,36.32925033569336
1167282000,29.700172424316406,36.248165130615234
1167368400,29.32375717163086,36.072509765625
1167800400,29.391019821166992,36.0319709777832
1167886800,29.46437644958496,36.261688232421875
1167973200,29.219812393188477,35.97115707397461
1168232400,29.31764030456543,36.1130485534668
1168318800,29.195362091064453,36.14682388305664
1168405200,29.409360885620117,36.200870513916016
1168491600,29.537748336791992,35.984676361083984
1168578000,29.34210777282715,36.065738677978516
1168923600,29.58666229248047,36.106292724609375
1169010000,29.611108779907227,36.02521514892578
1169096400,29.439922332763672,36.00494384765625
1169182800,29.81289291381836,36.20763397216797
1169442000,30.363162994384766,36.248165130615234
1169528400,30.467117309570312,36.02521514892578
1169614800,30.791170120239258,35.94414520263672
1169701200,30.69945526123047,35.40361022949219
1169787600,30.387638092041016,35.1603889465332
1170046800,30.24699592590332,34.76851272583008
1170133200,30.68110466003418,35.21443176269531
1170219600,31.139680862426758,35.52522277832031
1170306000,31.310869216918945,35.70090103149414
1170392400,31.139680862426758,35.633338928222656
1170651600,31.15802574157715,35.72792053222656
1170738000,31.182479858398438,35.95088195800781
1170824400,31.310869216918945,36.05222702026367
1170910800,31.139680862426758,36.02521514892578
1170997200,30.827856063842773,35.80225372314453
1171256400,30.8400821685791,35.836021423339844
1171342800,31.15189552307129,36.30221176147461
1171429200,31.43926239013672,36.518428802490234
1171515600,31.310869216918945,36.383304595947266
1171602000,31.335330963134766,36.518428802490234
1171947600,31.56767463684082,36.518428802490234
1172034000,31.579893112182617,36.423831939697266
1172120400,31.573789596557617,36.281951904296875
1172206800,31.200828552246094,35.714420318603516
1172466000,31.066307067871094,35.66710662841797
