timestamp,XOM,CVX
1147752000,31.29409408569336,28.263839721679688
1147838400,30.395078659057617,27.5350399017334
1147924800,30.24860954284668,27.422929763793945
1148011200,30.53143310546875,27.315465927124023
1148270400,30.698102951049805,27.19869041442871
1148356800,30.50113296508789,27.14262580871582
1148443200,30.354656219482422,26.90903663635254
1148529600,31.071861267089844,27.79198455810547
1148616000,31.102163314819336,27.950822830200195
1148961600,30.405176162719727,27.30611801147461
1149048000,30.763774871826172,27.932138442993164
1149134400,30.864778518676758,28.020898818969727
1149220800,31.13752555847168,28.38062858581543
1149480000,30.32940101623535,27.72657585144043
1149566400,30.506179809570312,27.530376434326172
1149652800,29.708160400390625,26.708145141601562
1149739200,30.086977005004883,27.030500411987305
1149825600,29.698060989379883,26.87632942199707
1150084800,29.415231704711914,26.90436363220215
1150171200,28.6121768951416,26.52595329284668
1150257600,29.1929988861084,27.016477584838867
1150344000,29.85968780517578,27.763946533203125
1150430400,29.698060989379883,27.427597045898438
1150689600,28.985933303833008,26.86699104309082
1150776000,28.985933303833008,26.86699104309082
1150862400,29.32431983947754,27.226715087890625
1150948800,29.27886390686035,27.40424156188965
1151035200,29.344512939453125,27.427597045898438
1151294400,29.708160400390625,27.880752563476562
1151380800,30.127391815185547,28.07697105407715
1151467200,30.869821548461914,28.66560173034668
1151553600,31.501157760620117,29.174819946289062
1151640000,30.986003875732422,28.992618560791016
1151899200,31.39004135131836,29.314960479736328
1152072000,31.592069625854492,29.84286880493164
1152158400,32.056732177734375,29.88958168029785
1152244800,31.73855972290039,29.749435424804688
1152504000,31.839550018310547,30.025060653686523
1152590400,32.31433868408203,30.50624656677246
1152676800,32.309288024902344,30.305370330810547
1152763200,32.359779357910156,30.33806610107422
1152849600,32.77900314331055,31.010784149169922
1153108800,32.32441711425781,30.305370330810547
1153195200,32.63251876831055,30.623043060302734
1153281600,32.65777587890625,30.828588485717773
1153368000,32.45068359375,30.515588760375977
1153454400,32.2890739440918,30.109155654907227
1153713600,33.011322021484375,30.959400177001953
1153800000,33.203250885009766,31.27707290649414
1153886400,33.637611389160156,31.534025192260742
1153972800,33.571937561035156,31.64146614074707
1154059200,33.839622497558594,30.85662078857422
1154318400,34.21337890625,30.730487823486328
1154404800,34.43561935424805,30.95006561279297
1154491200,34.58713912963867,30.819257736206055
1154577600,34.53157424926758,30.599681854248047
1154664000,34.693199157714844,30.674421310424805
1154923200,34.965946197509766,31.221027374267578
1155009600,34.986148834228516,31.393871307373047
1155096000,34.99625778198242,31.524688720703125
1155182400,35.183990478515625,31.463943481445312
1155268800,35.38188552856445,31.697521209716797
1155528000,35.1383171081543,31.323802947998047
1155614400,34.85417175292969,31.23504066467285
1155700800,34.285884857177734,30.797163009643555
1155787200,34.5446662902832,31.145578384399414
1155873600,35.06220245361328,31.66820526123047
1156132800,35.43260955810547,31.493989944458008
1156219200,35.62543869018555,31.333904266357422
1156305600,35.33112716674805,30.924287796020508
1156392000,35.88422393798828,31.41864585876465
1156478400,35.73706817626953,31.43748664855957
1156737600,35.56962585449219,31.150291442871094
1156824000,35.21951675415039,30.952545166015625
1156910400,34.6562614440918,30.693593978881836
1156996800,34.33661651611328,30.321624755859375
1157083200,34.55479431152344,30.524080276489258
1157428800,34.74760818481445,31.235031127929688
1157515200,34.08796310424805,30.70769691467285
1157601600,34.34677505493164,30.792461395263672
1157688000,33.90024185180664,30.236867904663086
1157947200,32.95137405395508,29.191614151000977
1158033600,32.8296012878418,28.904409408569336
1158120000,33.16447067260742,29.375246047973633
1158206400,32.83466339111328,29.215173721313477
1158292800,32.8042106628418,29.09273338317871
1158552000,33.64145278930664,29.591835021972656
1158638400,33.23551559448242,29.13982391357422
1158724800,32.530235290527344,28.6643009185791
1158811200,32.87018585205078,29.215173721313477
1158897600,32.936153411865234,29.163362503051758
1159156800,33.01226043701172,29.276371002197266
1159243200,33.70740509033203,29.940242767333984
1159329600,34.06260681152344,30.227441787719727
1159416000,34.23005676269531,30.382831573486328
1159502400,34.047386169433594,30.538183212280273
