timestamp,MPC,PSX
1334203200,13.955485343933105,21.310678482055664
1334289600,13.908700942993164,23.1910343170166
1334548800,13.370662689208984,22.908985137939453
1334635200,13.363984107971191,22.564250946044922
1334721600,13.320534706115723,22.564250946044922
1334808000,13.280437469482422,22.564250946044922
1334894400,13.333907127380371,22.76482391357422
1335153600,13.367321968078613,22.363679885864258
1335240000,13.454208374023438,21.7807674407959
1335326400,13.404083251953125,21.7807674407959
1335412800,13.584543228149414,21.906131744384766
1335499200,13.798422813415527,21.379629135131836
1335758400,13.905360221862793,21.342023849487305
1335844800,13.771686553955078,20.533466339111328
1335931200,13.865251541137695,20.057111740112305
1336017600,13.487630844116211,19.674768447875977
1336104000,13.280437469482422,18.903827667236328
1336363200,13.253702163696289,18.39613914489746
1336449600,12.872734069824219,18.866228103637695
1336536000,12.76913833618164,20.364233016967773
1336622400,12.765790939331055,20.357967376708984
1336708800,12.434952735900879,19.950565338134766
1336968000,12.051407814025879,19.63089942932129
1337054400,11.87645435333252,19.85027503967285
1337140800,11.866360664367676,20.119794845581055
1337227200,11.73178482055664,19.593294143676758
1337313600,11.748605728149414,19.668506622314453
1337572800,12.09850788116455,20.17620277404785
1337659200,11.906734466552734,19.82520294189453
1337745600,11.916829109191895,19.68730926513672
1337832000,12.044679641723633,19.51181411743164
1337918400,12.408035278320312,19.618364334106445
1338264000,12.525796890258789,19.436599731445312
1338350400,12.307104110717773,19.07933235168457
1338436800,12.135519027709961,18.822351455688477
1338523200,11.856268882751465,18.753398895263672
1338782400,11.533286094665527,18.508956909179688
1338868800,11.84281063079834,18.74086570739746
1338955200,12.219626426696777,19.762529373168945
1339041600,12.529156684875488,19.950565338134766
1339128000,12.56952953338623,20.132328033447266
1339387200,12.744485855102539,20.433185577392578
1339473600,13.144848823547363,20.991018295288086
1339560000,13.040543556213379,20.539735794067383
1339646400,13.255875587463379,21.01608657836914
1339732800,13.508207321166992,21.874792098999023
1339992000,13.403909683227539,21.222930908203125
1340078400,13.750447273254395,21.222930908203125
1340164800,14.39978313446045,21.724363327026367
1340251200,13.905206680297852,20.984756469726562
1340337600,14.059980392456055,21.410968780517578
1340596800,13.908575057983398,20.602413177490234
1340683200,14.315670013427734,20.420650482177734
1340769600,14.30557918548584,19.988161087036133
