timestamp,XOM,CVX,COP
1149480000,30.32940101623535,27.47494125366211,24.336795806884766
1149566400,30.506195068359375,27.280500411987305,24.08774757385254
1149652800,29.708168029785156,26.465744018554688,23.55073356628418
1149739200,30.08696746826172,26.785165786743164,23.772550582885742
1149825600,29.69806480407715,26.632400512695312,23.5701904296875
1150084800,29.415233612060547,26.66019058227539,23.20440101623535
1150171200,28.61217498779297,26.285202026367188,22.535078048706055
1150257600,29.193004608154297,26.77128791809082,23.138240814208984
1150344000,29.859691619873047,27.511966705322266,24.02937889099121
1150430400,29.69806480407715,27.178667068481445,23.803674697875977
1150689600,28.985918045043945,26.623144149780273,23.037065505981445
1150776000,28.985918045043945,26.623144149780273,22.881423950195312
1150862400,29.324316024780273,26.979602813720703,23.29001235961914
1150948800,29.27885627746582,27.155517578125,23.64412498474121
1151035200,29.344518661499023,27.178667068481445,23.838685989379883
1151294400,29.708168029785156,27.627708435058594,24.165571212768555
1151380800,30.12738609313965,27.822132110595703,24.418521881103516
1151467200,30.869840621948242,28.40542221069336,24.959421157836914
1151553600,31.50116729736328,28.910011291503906,25.67153549194336
1151640000,30.985992431640625,28.72947883605957,25.500314712524414
1151899200,31.390050888061523,29.04890251159668,26.002323150634766
1152072000,31.592069625854492,29.572002410888672,26.294170379638672
1152158400,32.056739807128906,29.618310928344727,26.294170379638672
1152244800,31.738554000854492,29.479421615600586,26.14629554748535
1152504000,31.839569091796875,29.752544403076172,26.20467185974121
1152590400,32.3143196105957,30.2293758392334,26.426475524902344
1152676800,32.30927658081055,30.030311584472656,26.44204330444336
1152763200,32.35979080200195,30.06272315979004,26.103490829467773
1152849600,32.77897644042969,30.729333877563477,26.247465133666992
1153108800,32.32442855834961,30.030311584472656,25.35245132446289
1153195200,32.63252258300781,30.345104217529297,25.457521438598633
1153281600,32.65777587890625,30.548789978027344,25.64042091369629
1153368000,32.450687408447266,30.238645553588867,25.072269439697266
1153454400,32.289066314697266,29.835880279541016,24.760957717895508
1153713600,33.011329650878906,30.678422927856445,25.59761619567871
1153800000,33.203243255615234,30.99320411682129,26.247465133666992
1153886400,33.63761520385742,31.24781608581543,26.694982528686523
1153972800,33.57193374633789,31.354297637939453,26.605009078979492
1154059200,33.83964157104492,30.576568603515625,26.581546783447266
1154318400,34.21338653564453,30.451583862304688,26.851455688476562
1154404800,34.43560791015625,30.669158935546875,26.863189697265625
1154491200,34.58714294433594,30.53953742980957,27.004032135009766
1154577600,34.53157424926758,30.32196807861328,26.906219482421875
1154664000,34.693214416503906,30.39602279663086,26.80453109741211
1154923200,34.9659309387207,30.93764305114746,26.448528289794922
1155009600,34.98614501953125,31.10894775390625,26.45635414123535
1155096000,34.99624252319336,31.23857307434082,26.953163146972656
1155182400,35.183990478515625,31.178363800048828,26.64022445678711
1155268800,35.38188171386719,31.409841537475586,26.74974822998047
1155528000,35.1383171081543,31.039493560791016,26.139497756958008
1155614400,34.854183197021484,30.951534271240234,26.19816017150879
1155700800,34.28586196899414,30.51764488220215,26.09255599975586
1155787200,34.544654846191406,30.86290740966797,25.928239822387695
