timestamp,MCD,YUM
1147752000,19.908702850341797,12.914427757263184
1147838400,19.8283748626709,12.953770637512207
1147924800,19.759521484375,12.860330581665039
1148011200,19.593143463134766,12.882460594177246
1148270400,19.5242919921875,13.08901596069336
1148356800,19.2374210357666,12.79148006439209
1148443200,18.90464973449707,12.518535614013672
1148529600,19.082509994506836,12.737378120422363
1148616000,18.8874454498291,12.636565208435059
1148961600,18.772701263427734,12.461978912353516
1149048000,19.030872344970703,12.393132209777832
1149134400,19.323486328125,12.516075134277344
1149220800,19.225942611694336,12.508699417114258
1149480000,19.019405364990234,12.289854049682617
1149566400,19.111204147338867,12.430009841918945
1149652800,19.116947174072266,12.688200950622559
1149739200,19.329221725463867,12.666070938110352
1149825600,19.15135955810547,12.715254783630371
1150084800,18.89318084716797,12.41525936126709
1150171200,18.32518768310547,12.213627815246582
1150257600,18.847286224365234,12.287393569946289
1150344000,19.134153366088867,12.639029502868652
1150430400,19.01365852355957,12.764433860778809
1150689600,18.847286224365234,12.764433860778809
1150776000,18.9103946685791,12.705419540405273
1150862400,19.162837982177734,12.747215270996094
1150948800,18.675161361694336,12.405425071716309
1151035200,18.703845977783203,12.275102615356445
1151294400,18.738265991210938,12.267721176147461
1151380800,18.65220832824707,12.134937286376953
1151467200,18.342397689819336,12.063628196716309
1151553600,19.254636764526367,12.388211250305176
1151640000,19.277584075927734,12.361161231994629
1151899200,19.489864349365234,12.528366088867188
1152072000,19.369384765625,12.439850807189941
1152158400,19.329221725463867,12.506237030029297
1152244800,19.036619186401367,12.378375053405762
1152504000,19.323486328125,12.398046493530273
1152590400,19.667736053466797,12.346407890319824
1152676800,19.398069381713867,12.020855903625488
1152763200,19.030872344970703,11.892607688903809
1152849600,18.95628547668457,11.766827583312988
1153108800,19.920166015625,11.875338554382324
1153195200,19.971805572509766,11.739691734313965
1153281600,20.13245391845703,12.117042541503906
1153368000,19.891477584838867,11.345080375671387
1153454400,19.908702850341797,11.08118724822998
1153713600,19.98902130126953,11.226698875427246
1153800000,19.943113327026367,11.283426284790039
1153886400,19.765262603759766,11.241497039794922
1153972800,19.925899505615234,11.219298362731934
1154059200,20.247203826904297,11.100913047790527
1154318400,20.30457305908203,11.098447799682617
1154404800,20.12671661376953,11.128046035766602
1154491200,20.419328689575195,11.327818870544434
1154577600,20.562763214111328,11.557188987731934
1154664000,20.316049575805664,11.591717720031738
